,Course Title,Course Type,University,Location,Subject,Beginning,Tuition Fee,Language,Duration,Link
39,Master of Science in Data Science,Master's degree,TU Dortmund University,Dortmund,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8951/
40,International Master's Programme in Advanced Computational and Civil Engineering Structural Studies (ACCESS),Master's degree,Technische Universität Dresden,Dresden,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4132/
41,Digital Sciences (Master of Science),Master's degree,TH Köln (University of Applied Sciences),Köln,Computer Science,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8353/
42,Data Science,Master's degree,Hamburg University of Technology,Hamburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9040/
43,Data Science,Master's degree,Kiel University of Applied Sciences,Kiel,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8285/
44,Data Science,Master's degree,Fulda University of Applied Sciences,Fulda,Computer Science,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8953/
45,Master of Science in Cognitive Science,Master's degree,RPTU University of Kaiserslautern-Landau,Kaiserslautern,Social Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4486/
46,Web and Data Science (MSc),Master's degree,University of Koblenz,Koblenz,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4384/
47,MSc Artificial Intelligence and Data Science,Master's degree,Deggendorf Institute of Technology,Deggendorf,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7124/
48,Cognitive Science,Master's degree,Technical University of Darmstadt,Darmstadt,Psychology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7025/
49,Data Science,Master's degree,RWTH Aachen University,Aachen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7636/
50,Data Science,Master's degree,Technische Universität Braunschweig,Braunschweig,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7660/
51,Master of Science in International Software Systems Science,Master's degree,University of Bamberg,Bamberg,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4521/
52,Biodiversity Sciences,Master's degree,Martin Luther University Halle-Wittenberg,Halle (Saale),Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9060/
53,Data Science,Master's degree,University of Potsdam,Potsdam,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5253/
54,Quantum Science,Master's degree,University of Siegen,Siegen,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/
55,Life Science Informatics (b-it),Master's degree,University of Bonn,Bonn,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3622/
56,Master of Science in Environmental Sciences (MSc ES) (and DigES),Master's degree,Trier University,Trier,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3789/
57,Mathematics for Data and Resource Sciences,Master's degree,TU Bergakademie Freiberg,Freiberg,Mathematics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7973/
58,Artificial Intelligence and Data Science,Master's degree,Heinrich Heine University Düsseldorf,Düsseldorf,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6937/
59,Master of Science in Software Engineering,Master's degree,University of Augsburg,Augsburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4001/
60,Quantum Technologies in Electrical and Computer Engineering (QTEC),Master's degree,Technische Universität Braunschweig,Braunschweig,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8958/
61,Applied Data Science (MSc),Master's degree,University of Göttingen,Göttingen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7641/
62,Cognitive Science (MSc),Master's degree,Ruhr-Universität Bochum,Bochum,Philosophy,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4356/
63,Data Science (MSc),Master's degree,Philipps-Universität Marburg,Marburg,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9046/
64,Master of Science in Information Systems,Master's degree,University of Münster,Münster,Business and Economics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4010/
65,Mathematics in Data Science,Master's degree,Technical University Munich,Garching b. München,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4850/
66,Management & Data Science (MSc),Master's degree,Leuphana University Lüneburg,Lüneburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4556/
67,Geoinformatics and Spatial Data Science (MSc),Master's degree,University of Münster,Münster,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3877/
68,Master of Science in Bioinformatics,Master's degree,Freie Universität Berlin,Berlin,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4724/
69,Linguistic Data Science (MA),Master's degree,Ruhr-Universität Bochum,Bochum,General and Comparative Literature and Linguistics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8359/
70,International Master's Programme in Language Science and Technology (LST),Master's degree,Saarland University,Saarbrücken,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3739/
71,Cognitive Science (MSc),Master's degree,Osnabrück University,Osnabrück,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3614/
72,Informatics in the Natural Sciences,Master's degree,Bielefeld University,Bielefeld,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8897/
73,International Master of Science in Physics,Master's degree,Julius-Maximilians-Universität Würzburg,Würzburg,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7017/
74,Materials Science and Simulation,Master's degree,Ruhr-Universität Bochum,Bochum,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4234/
75,International Master of Science in Quantum Engineering,Master's degree,Julius-Maximilians-Universität Würzburg,Würzburg,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7026/
76,Elite Master of Science in Neuroengineering (MSNE),Master's degree,Technical University Munich,München,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4670/
77,"Data Science (MSc, Elite Master's Programme)",Master's degree,Ludwig-Maximilians-Universität München,München,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4683/
78,Master of Science in Digital Health,Master's degree,University of Potsdam,Potsdam,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5252/
79,Earth System Data Science and Remote Sensing,Master's degree,Leipzig University,Leipzig,Earth Sciences (excluding Geography),Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8355/
80,Master of Science in Natural Language Processing,Master's degree,Trier University,Trier,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7708/
81,Software Systems Engineering,Master's degree,RWTH Aachen University,Aachen,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3696/
82,Master of Science in Intelligent Adaptive Systems (IAS),Master's degree,Universität Hamburg,Hamburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4350/
83,Master of Science in Software Systems Engineering,Master's degree,University of Potsdam,Potsdam,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8305/
84,Communication Systems and Networks (Master of Science),Master's degree,TH Köln (University of Applied Sciences),Köln,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/
85,Digital Engineering (DigiEng),Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Computer Science,"Winter semester, Summer semester",none,English,German,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4427/
86,High Integrity Systems (HIS),Master's degree,Frankfurt University of Applied Sciences,Frankfurt am Main,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3903/
87,Master of Science in Artificial Intelligence Engineering,Master's degree,University of Passau,Passau,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7784/
88,Master of Science in Management and Digital Technologies,Master's degree,Ludwig-Maximilians-Universität München,München,Business and Economics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4800/
89,Master of Science in Geoinformatics,Master's degree,Trier University,Trier,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6304/
90,Master of Science in Artificial Intelligence and Machine Learning,Master's degree,Technical University of Darmstadt,Darmstadt,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/
91,"Mathematical Modelling, Simulation and Optimisation (MSc)",Master's degree,University of Koblenz,Koblenz,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4579/
92,Entrepreneurship and Digital Transformation,Master's degree,Hochschule München University of Applied Sciences,München,Business and Economics,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6972/
93,Internet of Things (IoT) and Smart Systems,Master's degree,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8382/
94,Master's in Business Analytics & Econometrics – Master of Science,Master's degree,University of Cologne,Köln,Business and Economics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8423/
95,"Artificial Intelligence for Industrial Applications, (MSc) full-time",Master's degree,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Amberg,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8977/
96,"Design and Interaction, MA",Master's degree,Rhine-Waal University of Applied Sciences,Kamp-Lintfort,Design,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4489/
97,Artificial Intelligence,Master's degree,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/
